Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Engine,Seats,Price
Maruti Wagon R LXI CNG,2010,72000,CNG,Manual,998 CC,5,7525
Hyundai Creta 1.6 CRDi SX Option,2015,41000,Diesel,Manual,1582 CC,5,53750
Honda Jazz V,2011,46000,Petrol,Manual,1199 CC,5,19350
Maruti Ertiga VDI,2012,87000,Diesel,Manual,1248 CC,7,25800
Audi A4 New 2.0 TDI Multitronic,2013,40670,Diesel,Automatic,1968 CC,5,76282
Hyundai EON LPG Era Plus Option,2012,75000,LPG,Manual,814 CC,5,10105
Nissan Micra Diesel XV,2013,86999,Diesel,Manual,1461 CC,5,15050
Toyota Innova Crysta 2.8 GX AT 8S,2016,36000,Diesel,Automatic,2755 CC,8,75250
Volkswagen Vento Diesel Comfortline,2013,64430,Diesel,Manual,1598 CC,5,22360
Tata Indica Vista Quadrajet LS,2012,65932,Diesel,Manual,1248 CC,5,8385
Maruti Ciaz Zeta,2018,25692,Petrol,Manual,1462 CC,5,42785
Honda City 1.5 V AT Sunroof,2012,60000,Petrol,Automatic,1497 CC,5,19307
Maruti Swift VDI BSIV,2015,64424,Diesel,Manual,1248 CC,5,24080
Land Rover Range Rover 2.2L Pure,2014,72000,Diesel,Automatic,2179 CC,5,116100
Land Rover Freelander 2 TD4 SE,2012,85000,Diesel,Automatic,2179 CC,5,75250
Mitsubishi Pajero Sport 4X4,2014,110000,Diesel,Manual,2477 CC,7,64500
Honda Amaze S i-Dtech,2016,58950,Diesel,Manual,1498 CC,5,23220
Maruti Swift DDiS VDI,2017,25000,Diesel,Manual,1248 CC,5,25757
Renault Duster 85PS Diesel RxL Plus,2014,77469,Diesel,Manual,1461 CC,5,27262
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,78500,Diesel,Automatic,2143 CC,5,120400
BMW 3 Series 320d,2014,32982,Diesel,Automatic,1995 CC,5,79765
Maruti S Cross DDiS 200 Alpha,2015,55392,Diesel,Manual,1248 CC,5,35475
Audi A6 2011-2015 35 TFSI Technology,2015,55985,Petrol,Automatic,1984 CC,5,101050
Hyundai i20 1.2 Magna,2010,45807,Petrol,Manual,1197 CC,5,8041
Volkswagen Vento Petrol Highline AT,2010,33000,Petrol,Automatic,1598 CC,5,12255
Honda City Corporate Edition,2012,51920,Petrol,Manual,1497 CC,5,18275
Nissan Micra Diesel XV,2012,54000,Diesel,Manual,1461 CC,5,18275
Maruti Alto K10 2010-2014 VXI,2013,54000,Petrol,Manual,998 CC,5,11825
Honda WRV i-VTEC VX,2018,37430,Petrol,Manual,1199 CC,5,42570
Toyota Innova 2.5 V Diesel 7-seater,2007,262000,Diesel,Manual,2494 CC,7,17200
Renault Duster 110PS Diesel RxZ Pack,2013,62000,Diesel,Manual,1461 CC,5,33325
Toyota Corolla Altis G,2012,87615,Petrol,Manual,1798 CC,5,29025
Mahindra Ssangyong Rexton RX7,2013,72000,Diesel,Automatic,2696 CC,7,53750
Audi A6 2.7 TDI,2010,35000,Diesel,Automatic,2698 CC,5,49450
Volkswagen Vento 1.6 Highline,2014,55431,Petrol,Manual,1598 CC,5,30014
Maruti Wagon R LXI BSIII,2009,83816,Petrol,Manual,1061 CC,5,7955
Maruti Vitara Brezza ZDi Plus,2018,50075,Diesel,Manual,1248 CC,5,37109
Mahindra KUV 100 mFALCON G80 K6 5str AW,2017,52000,Petrol,Manual,1198 CC,5,20855
Mercedes-Benz M-Class ML 350 CDI,2013,85000,Diesel,Automatic,2987 CC,5,120400
Volkswagen Polo Diesel Trendline 1.2L,2013,62000,Diesel,Manual,1199 CC,5,21500
Maruti Alto LXi,2008,90000,Petrol,Manual,796 CC,5,5375
Tata Nano LX SE,2014,19698,Petrol,Manual,624 CC,4,6579
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,2017,22033,Diesel,Manual,1198 CC,6,23994
Hyundai i20 Magna Optional 1.2,2014,35487,Petrol,Manual,1197 CC,5,20382
Hyundai Elantra 2.0 SX Option AT,2014,46374,Petrol,Automatic,1999 CC,5,38055
Toyota Corolla Altis G AT,2016,52001,Petrol,Automatic,1798 CC,5,43473
Hyundai Elantra CRDi,2008,58005,Diesel,Manual,1991 CC,5,18275
Toyota Innova Crysta 2.7 GX MT,2012,70704,Petrol,Manual,2694 CC,7,47085
Hyundai Xcent 1.1 CRDi S,2014,75000,Diesel,Manual,1120 CC,5,16555
Mahindra Thar CRDe AC,2012,75800,Diesel,Manual,2498 CC,6,23650
Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,13648,Diesel,Automatic,1968 CC,5,92149
Maruti Swift LDI,2014,52000,Diesel,Manual,1248 CC,5,18275
Maruti Swift Ldi BSIV,2014,53000,Diesel,Manual,1248 CC,5,14190
Maruti Swift VDI,2013,65650,Diesel,Manual,1248 CC,5,16555
Hyundai Grand i10 Sportz,2015,54000,Petrol,Manual,1197 CC,5,15480
Volkswagen Vento 2013-2015 1.6 Comfortline,2015,39000,Petrol,Manual,1598 CC,5,17157
Renault KWID RXT,2017,16542,Petrol,Manual,799 CC,5,14190
Hyundai i10 Asta,2010,32000,Petrol,Manual,1197 CC,5,8901
Nissan X-Trail SLX AT,2010,121812,Diesel,Automatic,1995 CC,5,33325
Maruti Zen Estilo VXI BSIII,2010,39300,Petrol,Manual,998 CC,5,9675
Toyota Innova Crysta 2.4 GX MT 8S,2017,22000,Diesel,Manual,2393 CC,8,70950
Ford Figo Diesel Titanium,2010,72000,Diesel,Manual,1399 CC,5,11825
Mercedes-Benz New C-Class C 200 CGI Avantgarde,2015,58000,Petrol,Automatic,1796 CC,5,114810
Mercedes-Benz New C-Class 200 CDI Classic,2011,65000,Diesel,Manual,2148 CC,5,43000
Tata Indica V2 eLS,2016,178000,Diesel,Manual,1396 CC,5,10750
Audi A4 2.0 TDI Multitronic,2012,65664,Diesel,Automatic,1968 CC,5,58050
Honda City ZX CVT,2007,63000,Petrol,Automatic,1497 CC,5,7955
Mercedes-Benz C-Class Progressive C 220d,2019,15369,Diesel,Automatic,1950 CC,5,153381
Maruti Ertiga SHVS VDI,2016,63000,Diesel,Manual,1248 CC,7,35045
Hyundai Creta 1.4 E Plus Diesel,2018,13000,Diesel,Manual,1396 CC,5,45150
Porsche Cayenne 2009-2014 Turbo,2008,73000,Petrol,Automatic,4806 CC,5,62350
Mahindra XUV500 W8 4WD,2015,55729,Diesel,Manual,2179 CC,7,41495
Hyundai i10 Sportz 1.2 AT,2012,45178,Petrol,Automatic,1197 CC,5,14964
Nissan Terrano XV D Pre,2015,56066,Diesel,Manual,1461 CC,5,29756
Honda Brio VX AT,2016,37300,Petrol,Automatic,1198 CC,5,27778
Audi A6 2.0 TDI Design Edition,2014,56000,Diesel,Automatic,1968 CC,5,126850
Ford Fiesta 1.4 SXi TDCi,2008,111111,Diesel,Manual,1399 CC,5,8600
Toyota Innova 2.0 G1,2006,230000,Petrol,Manual,1998 CC,8,19350
Toyota Innova 2.5 VX 7 STR BSIV,2012,104000,Diesel,Manual,2494 CC,7,50525
Hyundai Santro Xing XL,2005,87591,Petrol,Manual,1086 CC,5,5590
Maruti Swift VDI,2012,95100,Diesel,Manual,1248 CC,5,16125
Tata Zest Revotron 1.2T XE,2017,70000,Petrol,Manual,1193 CC,5,19350
Honda Amaze SX i-VTEC,2016,54944,Petrol,Manual,1198 CC,5,20726
Ford Figo Diesel ZXI,2012,70337,Diesel,Manual,1399 CC,5,12040
Maruti Ritz VDi,2013,99638,Diesel,Manual,1248 CC,5,13373
Honda City i VTEC E,2009,52000,Petrol,Manual,1497 CC,5,13975
BMW 5 Series 2003-2012 525d,2011,75000,Diesel,Automatic,1995 CC,5,59770
Hyundai i10 Sportz 1.2,2009,95980,Petrol,Manual,1197 CC,5,9675
Hyundai Grand i10 Sportz,2016,16000,Petrol,Manual,1197 CC,5,24725
Hyundai Santro Xing XO,2007,73745,Petrol,Manual,1086 CC,5,9030
Honda Amaze SX i-VTEC,2016,18949,Petrol,Manual,1198 CC,5,21500
Toyota Fortuner 4x2 Manual,2014,107000,Diesel,Manual,2982 CC,7,70950
Audi A6 2011-2015 35 TDI Premium,2018,48367,Diesel,Automatic,1968 CC,5,170194
Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,57000,Diesel,Manual,1498 CC,5,23650
Mahindra XUV500 W8 2WD,2014,58000,Diesel,Manual,2179 CC,7,34830
Honda Amaze SX i-DTEC,2015,30000,Diesel,Manual,1498 CC,5,15050
Volkswagen Polo Diesel Highline 1.2L,2013,34212,Diesel,Manual,1199 CC,5,11997
Hyundai Verna Transform SX VGT CRDi,2010,70002,Diesel,Manual,1493 CC,5,14835
Maruti Wagon R VXI BS IV,2016,62000,Petrol,Manual,998 CC,5,19135
Volkswagen Polo Petrol Highline 1.6L,2010,62001,Petrol,Manual,1598 CC,5,11395
Hyundai i20 1.4 CRDi Sportz,2011,78958,Diesel,Manual,1396 CC,5,16340
Hyundai i20 Asta 1.2,2014,30180,Petrol,Manual,1197 CC,5,19995
Datsun GO Plus T Petrol,2017,32851,Petrol,Manual,1198 CC,7,16985
Audi A4 3.0 TDI Quattro Premium,2010,30000,Diesel,Automatic,2967 CC,5,42140
Hyundai i20 2015-2017 Asta,2009,66000,Petrol,Manual,1197 CC,5,11610
Maruti Omni 5 Str STD,2010,93850,Petrol,Manual,796 CC,5,10363
Toyota Etios Liva 1.2 G,2014,53000,Petrol,Manual,1197 CC,5,16770
Jaguar XF 3.0 Litre S Premium Luxury,2011,78000,Diesel,Automatic,2993 CC,5,103200
Mahindra XUV500 W8 2WD,2012,65000,Diesel,Manual,2179 CC,7,24725
Hyundai Verna 1.6 SX CRDI (O) AT,2014,40000,Diesel,Automatic,1582 CC,5,22575
Toyota Innova Crysta 2.8 ZX AT,2017,30000,Diesel,Automatic,2755 CC,7,82775
Maruti Eeco 5 Seater AC,2017,38053,Petrol,Manual,1196 CC,5,16813
Tata Nano Twist XT,2014,25500,Petrol,Manual,624 CC,4,9245
BMW 3 Series 320d Luxury Line,2015,56087,Diesel,Automatic,1995 CC,5,89225
Honda Civic 2006-2010 1.8 V MT,2010,71088,Petrol,Manual,1799 CC,5,14405
Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,55000,Diesel,Manual,2494 CC,7,47773
Volvo V40 Cross Country D3,2014,32700,Diesel,Automatic,1984 CC,5,86000
Nissan Micra XV CVT,2016,39882,Petrol,Automatic,1198 CC,5,28165
BMW 5 Series 2010-2013 525i,2009,128000,Petrol,Automatic,2497 CC,5,30100
Maruti Vitara Brezza VDi,2016,55000,Diesel,Manual,1248 CC,5,32250
Hyundai Santro Xing XL eRLX Euro III,2005,102000,Petrol,Manual,1086 CC,5,3655
Mercedes-Benz B Class B200 CDI,2014,53753,Diesel,Automatic,2143 CC,5,72025
Hyundai Verna CRDi 1.6 SX Option,2018,10250,Diesel,Manual,1582 CC,5,47085
Maruti Wagon R LXI BS IV,2011,43874,Petrol,Manual,998 CC,5,10535
Tata Nano XTA,2017,32684,Petrol,Automatic,624 CC,4,13889
Mahindra Scorpio VLX,2014,42000,Diesel,Manual,2179 CC,8,33325
Mercedes-Benz New C-Class 200 K AT,2009,28352,Petrol,Automatic,1796 CC,5,40205
Maruti Wagon R LXI CNG,2013,89900,CNG,Manual,998 CC,5,13975
Honda CR-V 2.4 MT,2007,47700,Petrol,Manual,2354 CC,5,22575
Volkswagen Vento 1.5 TDI Comfortline AT,2015,55000,Diesel,Automatic,1498 CC,5,31175
Maruti Ciaz VXi Plus,2017,44285,Petrol,Manual,1373 CC,5,32121
Mahindra XUV500 AT W10 FWD,2016,54000,Diesel,Automatic,2179 CC,7,56975
Maruti Ritz VXI ABS,2016,30232,Petrol,Manual,1197 CC,5,24983
Maruti Alto K10 VXI,2014,88500,Petrol,Manual,998 CC,5,11180
Mercedes-Benz SLC 43 AMG,2017,13372,Petrol,Automatic,2996 CC,2,232200
Hyundai Verna VTVT 1.6 AT SX Plus,2019,12645,Petrol,Automatic,1591 CC,5,49450
Maruti Alto LXi BSIII,2010,94385,Petrol,Manual,796 CC,5,6880
BMW 1 Series 118d Base,2015,31821,Diesel,Automatic,1995 CC,5,74046
Honda Jazz 1.2 V CVT i VTEC,2015,12000,Petrol,Automatic,1199 CC,5,25800
Honda Civic 2006-2010 1.8 V MT,2012,88578,Petrol,Manual,1799 CC,5,16985
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,44965,Diesel,Automatic,2143 CC,5,77185
Honda Amaze SX i-DTEC,2014,45044,Diesel,Manual,1498 CC,5,15910
Maruti Swift VVT VXI,2016,34204,Petrol,Manual,1197 CC,5,23349
Hyundai Santro Xing XO eRLX Euro II,2008,80759,Petrol,Manual,1086 CC,5,7181
Toyota Fortuner 3.0 Diesel,2012,91235,Diesel,Manual,2982 CC,7,58007
Chevrolet Beat LT Option,2014,38800,Petrol,Manual,1199 CC,5,12255
Skoda Rapid 1.5 TDI Elegance,2013,83000,Diesel,Manual,1498 CC,5,20425
Maruti Ciaz 1.4 Alpha,2018,41283,Petrol,Manual,1373 CC,5,42570
Audi RS5 Coupe,2013,23000,Petrol,Automatic,2894 CC,4,159100
BMW 3 Series Luxury Line,2014,48000,Diesel,Automatic,1995 CC,5,113950
Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,48214,Diesel,Automatic,1968 CC,5,100276
Maruti Swift VDI,2016,35000,Diesel,Manual,1248 CC,5,26875
Mercedes-Benz S Class 2005 2013 S 500,2010,35277,Petrol,Automatic,5461 CC,5,129000
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,2016,54620,Diesel,Automatic,1498 CC,5,42398
Skoda Superb Elegance 2.0 TDI CR AT,2012,136997,Diesel,Automatic,1968 CC,5,36550
Hyundai EON Magna Plus,2019,14322,Petrol,Manual,814 CC,5,18189
Volkswagen Polo Diesel Trendline 1.2L,2012,65634,Diesel,Manual,1199 CC,5,15050
Datsun GO NXT,2016,6000,Petrol,Manual,1198 CC,5,10750
Honda Brio S MT,2013,33280,Petrol,Manual,1198 CC,5,10277
Mercedes-Benz B Class B180,2013,29000,Petrol,Automatic,1595 CC,5,48375
Honda City i DTEC V,2015,42831,Diesel,Manual,1498 CC,5,30573
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,90000,Diesel,Manual,2494 CC,7,46870
Maruti Swift VXI Optional,2017,24005,Petrol,Manual,1197 CC,5,26660
Mahindra XUV500 W8 2WD,2012,32792,Diesel,Manual,2179 CC,7,33970
Ford Ecosport 1.5 DV5 MT Ambiente,2014,147898,Diesel,Manual,1498 CC,5,19006
Toyota Fortuner 4x2 Manual,2012,131765,Diesel,Manual,2982 CC,7,58050
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2013,65000,Diesel,Automatic,1498 CC,5,26875
Ford Figo Diesel Titanium,2010,66123,Diesel,Manual,1399 CC,5,9030
BMW X5 xDrive 30d,2015,41000,Diesel,Automatic,2993 CC,5,193500
Mercedes-Benz New C-Class C 220 CDI Style,2017,23550,Diesel,Automatic,2143 CC,5,144738
Honda Brio V MT,2012,45000,Petrol,Manual,1198 CC,5,15695
Hyundai i10 Magna 1.2,2013,60000,Petrol,Manual,1197 CC,5,11825
Mercedes-Benz GLC 220,2016,44414,Diesel,Automatic,2143 CC,5,182750
Hyundai Grand i10 1.2 Kappa Asta,2019,1000,Petrol,Manual,1197 CC,5,27950
Audi A6 2011-2015 2.0 TDI Premium Plus,2012,62500,Diesel,Automatic,1968 CC,5,81700
Volkswagen Vento Petrol Highline AT,2013,21000,Petrol,Automatic,1598 CC,5,19135
Mini Countryman Cooper D,2017,8525,Diesel,Automatic,1998 CC,5,98900
Hyundai i20 Asta 1.4 CRDi,2014,29000,Diesel,Manual,1396 CC,5,35905
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,40000,Diesel,Automatic,1968 CC,5,98685
Chevrolet Beat Diesel LT,2012,88000,Diesel,Manual,936 CC,5,6450
Skoda Superb Elegance 1.8 TSI AT,2012,53537,Petrol,Automatic,1798 CC,5,29627
Ford Fiesta 1.4 TDCi EXI Limited Edition,2006,216000,Diesel,Manual,1399 CC,5,6235
BMW 5 Series 520d Luxury Line,2014,51000,Diesel,Automatic,1995 CC,5,144050
Chevrolet Optra Magnum 1.6 LS BS3,2007,118500,Petrol,Manual,1598 CC,5,5375
Volkswagen Polo Diesel Highline 1.2L,2012,63000,Diesel,Manual,1199 CC,5,18060
Renault Lodgy 110PS RxZ 8 Seater,2015,25000,Diesel,Manual,1461 CC,8,29025
Mercedes-Benz E-Class E250 CDI Avantgrade,2014,37382,Diesel,Automatic,2143 CC,5,137600
Maruti Baleno Alpha,2017,24773,Petrol,Manual,1197 CC,5,32250
Hyundai Verna 1.6 SX,2012,62000,Diesel,Manual,1582 CC,5,19780
Hyundai i10 Magna 1.1,2017,52340,Petrol,Manual,1086 CC,5,17372
Mahindra Scorpio 1.99 S10 4WD,2016,56739,Diesel,Manual,1997 CC,7,44333
Land Rover Range Rover 2.2L Dynamic,2018,36091,Diesel,Automatic,2179 CC,5,239768
Ford Figo Diesel ZXI,2010,120000,Diesel,Manual,1399 CC,5,11180
Maruti Ertiga ZDI,2016,33000,Diesel,Manual,1248 CC,7,36550
Honda City 1.5 GXI,2007,60006,Petrol,Manual,,,12685
Honda Amaze S i-Dtech,2014,52000,Diesel,Manual,1498 CC,5,15050
Hyundai i10 Magna,2015,43571,Petrol,Manual,1197 CC,5,15265
Honda Amaze S i-Dtech,2013,50000,Diesel,Manual,1498 CC,5,13975
Skoda Laura Ambiente,2008,113000,Diesel,Manual,1896 CC,5,19350
Renault Duster 85PS Diesel RxL,2014,90000,Diesel,Manual,1461 CC,5,23005
Mahindra NuvoSport N6,2017,29000,Diesel,Manual,1493 CC,7,27950
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,20000,Diesel,Manual,1248 CC,5,38700
Hyundai i20 Asta Option 1.2,2016,61012,Petrol,Manual,1197 CC,5,25800
Skoda Fabia 1.4 MPI Ambiente,2009,87459,Petrol,Manual,1390 CC,5,11825
Tata Indigo eCS GLX,2010,70500,Petrol,Manual,1193 CC,5,6450
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,2015,64103,Diesel,Automatic,1968 CC,5,85570
Skoda Octavia Elegance 1.8 TSI AT,2014,76000,Petrol,Automatic,1798 CC,5,43000
Toyota Etios Liva GD SP,2014,104000,Diesel,Manual,1364 CC,5,12900
Maruti Swift 1.3 VXi,2010,42001,Petrol,Manual,,,9073
Mercedes-Benz B Class B180,2014,37245,Petrol,Automatic,1595 CC,5,51428
Honda Amaze S Diesel,2013,45000,Diesel,Manual,1498 CC,5,13975
Hyundai Verna 1.6 SX,2012,117837,Diesel,Manual,1582 CC,5,20425
Renault Duster 85PS Diesel RxL Optional,2014,30000,Diesel,Manual,1461 CC,5,25585
Hyundai Creta 1.6 VTVT S,2015,27057,Petrol,Manual,1591 CC,5,35045
Maruti Wagon R AMT VXI,2016,8500,Petrol,Automatic,998 CC,5,18146
Mercedes-Benz New C-Class C250 Avantgarde,2010,30500,Petrol,Automatic,1796 CC,5,45150
Audi A8 L 3.0 TDI quattro,2012,56000,Diesel,Automatic,2967 CC,5,193500
Hyundai i10 Magna 1.1,2012,44000,Petrol,Manual,1086 CC,5,12470
Skoda Rapid 1.6 MPI AT Style Black Package,2017,10500,Petrol,Automatic,1598 CC,5,38270
Skoda Superb Style 1.8 TSI AT,2017,26000,Petrol,Automatic,1798 CC,5,111800
Hyundai i20 Active 1.2 SX,2018,25166,Petrol,Manual,1197 CC,5,35346
Honda Amaze VX i-DTEC,2014,64000,Diesel,Manual,1498 CC,5,15050
Maruti Wagon R LXI,2004,61000,Petrol,Manual,998 CC,5,5375
Mahindra Verito 1.5 D4 BSIV,2013,107000,Diesel,Manual,1461 CC,5,15910
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,29161,Diesel,Automatic,2143 CC,5,169463
Maruti Wagon R VXI,2013,32000,Petrol,Manual,998 CC,5,11395
Nissan Terrano XV Premium 110 PS Anniversary Edition,2015,46173,Diesel,Manual,1461 CC,5,38356
Maruti Swift VDI BSIV,2013,47000,Diesel,Manual,1248 CC,5,17630
Mini Cooper Convertible S,2017,26327,Petrol,Automatic,1998 CC,4,153381
Ford Figo Diesel,2015,70436,Diesel,Manual,1498 CC,,15480
Tata Indica V2 DLS BSII,2007,200000,Diesel,Manual,1396 CC,5,3655
Chevrolet Beat LT,2016,60813,Petrol,Manual,1199 CC,5,14276
Volkswagen Polo Diesel Comfortline 1.2L,2012,45000,Diesel,Manual,1199 CC,5,15480
Maruti Swift ZDi,2016,64000,Diesel,Manual,1248 CC,5,29240
Ford Figo Diesel EXI,2012,41284,Diesel,Manual,1399 CC,5,10750
Toyota Innova Crysta 2.8 GX AT,2019,14165,Diesel,Automatic,2755 CC,7,84452
Hyundai Santa Fe 4x4 AT,2011,67000,Diesel,Automatic,2199 CC,7,30100
Honda City i-VTEC V,2011,32572,Petrol,Manual,1497 CC,5,16641
Hyundai i20 1.2 Magna Executive,2018,14960,Petrol,Manual,1197 CC,5,26961
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2015,55980,Diesel,Automatic,2143 CC,5,77916
Chevrolet Beat Diesel LT,2013,74000,Diesel,Manual,936 CC,5,11395
Hyundai i20 Sportz 1.4 CRDi,2015,56847,Diesel,Manual,1396 CC,5,30960
Toyota Innova 2.5 Z Diesel 7 Seater,2015,121374,Diesel,Manual,2494 CC,7,61490
Maruti Ertiga VDI,2013,52000,Diesel,Manual,1248 CC,7,29670
Toyota Innova 2.5 V Diesel 7-seater,2014,118000,Diesel,Manual,2494 CC,7,46225
Hyundai Santro Xing XO eRLX Euro II,2007,72000,Petrol,Manual,1086 CC,5,4085
Honda City i VTEC V,2016,33915,Petrol,Manual,1497 CC,5,34787
BMW X1 sDrive20d,2014,82002,Diesel,Automatic,1995 CC,5,79550
Hyundai Grand i10 CRDi Era,2017,33000,Diesel,Manual,1120 CC,5,20425
Maruti Ciaz 1.3 Alpha,2016,34000,Diesel,Manual,1248 CC,5,36335
Skoda Rapid Leisure 1.6 TDI MT,2012,55000,Diesel,Manual,1598 CC,5,15050
Hyundai Accent CRDi,2006,160538,Diesel,Manual,1493 CC,5,7740
Volkswagen Polo GT 1.5 TDI,2014,60000,Diesel,Manual,1498 CC,5,15910
Honda Jazz 1.2 VX i VTEC,2017,49575,Petrol,Manual,1199 CC,5,30831
Hyundai i10 Era,2010,83000,Petrol,Manual,1086 CC,5,7525
Hyundai Tucson 2.0 e-VGT 2WD AT GLS,2018,51346,Diesel,Automatic,1995 CC,5,94557
Toyota Innova Crysta 2.4 ZX MT,2017,43000,Diesel,Manual,2393 CC,7,80195
Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,2011,35000,Petrol,Manual,796 CC,5,7955
Maruti Swift VXI BSIV,2017,27872,Petrol,Manual,1197 CC,5,25585
Hyundai Grand i10 Magna,2014,16514,Petrol,Manual,1197 CC,5,16125
Maruti Swift VDI,2012,120000,Diesel,Manual,1248 CC,5,16125
